1,"Tuberomammillary nucleus, ventral part"
2,"Primary somatosensory area, mouth, layer 6b"
3,secondary fissure
4,Inferior colliculus
6,internal capsule
7,Principal sensory nucleus of the trigeminal
8,Basic cell groups and regions
9,"Primary somatosensory area, trunk, layer 6a"
10,"Superior colliculus, motor related, intermediate gray layer"
11,posterolateral fissure
12,Interfascicular nucleus raphe
14,internal medullary lamina of the thalamus
15,Parataenial nucleus
16,"Layer 6b, isocortex"
17,"Superior colliculus, motor related, intermediate white layer"
18,nodular fissure
19,Induseum griseum
20,"Entorhinal area, lateral part, layer 2"
21,"lateral olfactory tract, general"
22,Posterior parietal association areas
23,Anterior amygdalar area
25,simple fissure
26,"Superior colliculus, motor related, deep gray layer"
27,Intergeniculate leaflet of the lateral geniculate complex
28,"Entorhinal area, lateral part, layer 6a"
29,lateral spinothalamic tract
30,"Periventricular hypothalamic nucleus, anterior part"
31,Anterior cingulate area
33,"Primary visual area, layer 6a"
34,intercrural fissure
35,Oculomotor nucleus
36,"Gustatory areas, layer 1"
37,longitudinal association bundle
38,Paraventricular hypothalamic nucleus
39,"Anterior cingulate area, dorsal part"
41,"posteromedial visual area, layer 2/3"
42,"Superior colliculus, motor related, deep white layer"
43,ansoparamedian fissure
44,Infralimbic area
45,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part"
46,mammillary related
47,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part"
48,"Anterior cingulate area, ventral part"
49,intraparafloccular fissure
50,Precommissural nucleus
51,Intralaminar nuclei of the dorsal thalamus
52,"Entorhinal area, lateral part, layer 3"
53,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone"
54,medial forebrain bundle
55,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part"
56,Nucleus accumbens
57,paramedian sulcus
58,Medial terminal nucleus of the accessory optic tract
59,Intermediodorsal nucleus of the thalamus
60,"Entorhinal area, lateral part, layer 6b"
